REGION,FUEL,TIMESLICE,YEAR,VALUE
GLOBAL,ELCCHNAN02,S1D1,2015,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2016,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2017,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2018,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2019,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2020,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2021,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2022,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2023,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2024,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2025,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2026,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2027,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2028,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2029,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2030,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2031,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2032,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2033,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2034,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2035,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2036,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2037,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2038,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2039,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2040,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2041,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2042,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2043,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2044,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2045,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2046,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2047,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2048,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2049,0.11324468172363256
GLOBAL,ELCCHNAN02,S1D1,2050,0.11324468172363256
GLOBAL,ELCCHNBE02,S1D1,2015,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2016,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2017,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2018,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2019,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2020,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2021,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2022,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2023,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2024,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2025,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2026,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2027,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2028,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2029,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2030,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2031,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2032,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2033,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2034,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2035,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2036,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2037,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2038,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2039,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2040,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2041,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2042,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2043,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2044,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2045,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2046,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2047,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2048,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2049,0.12355799842743885
GLOBAL,ELCCHNBE02,S1D1,2050,0.12355799842743885
GLOBAL,ELCCHNCH02,S1D1,2015,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2016,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2017,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2018,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2019,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2020,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2021,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2022,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2023,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2024,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2025,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2026,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2027,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2028,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2029,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2030,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2031,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2032,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2033,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2034,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2035,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2036,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2037,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2038,0.11451291883898053
GLOBAL,ELCCHNCH02,S1D1,2039,0.11451291883898053
